id,nome,indirizzo,numero-civico,cap,quartiere,citta,geolocazione,telefono,fax,mobile,email,web,tipi,tipi-specifici,agenzia.intestazione,consolato.stato,consolato.console,consolato.pec,consolato.orari.giorni,consolato.orari.apertura,consolato.orari.chiusura,consolato.orari.note,accoglienza.stelle,accoglienza.camere,accoglienza.sale_meeting,accoglienza.residences,accoglienza.descrizione,accoglienza.direttore,accoglienza.gestione,divertimento-e-ristoro.cucina,divertimento-e-ristoro.orari.giorni,divertimento-e-ristoro.orari.apertura,divertimento-e-ristoro.orari.chiusura,divertimento-e-ristoro.orari.note,divertimento-e-ristoro.informazioni,luogo-da-visitare.orari.giorni,luogo-da-visitare.orari.apertura,luogo-da-visitare.orari.chiusura,luogo-da-visitare.orari.note,luogo-da-visitare.orari.visite,luogo-da-visitare.orari.servizi,luogo-da-visitare.orari.prezzi,luogo-da-visitare.informazioni_storiche,luogo-da-visitare.note,luogo-da-visitare.gestore.nome,luogo-da-visitare.gestore.indirizzo,luogo-da-visitare.gestore.cap,luogo-da-visitare.gestore.localita,luogo-da-visitare.gestore.mobile,luogo-da-visitare.gestore.telefono,luogo-da-visitare.gestore.fax,luogo-da-visitare.gestore.email,luogo-da-visitare.gestore.web,icon
107,Esedra Viaggi,Via Trapani,41987,90141,,Palermo,"38.127204499999998,13.3526644",091/323435,091/326919,,info@esedraviaggi.com,www.esedraviaggi.com,Agenzia di viaggi,,Esedra viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
108,Tatamaro Viaggi,Via Pietro Scaglione,6,90145,,Palermo,"38.140575599999998,13.311167899999999",091/851311,091/851008,,tatamaroviaggi@hotmail.it,www.tatamaroviaggi.it,Agenzia di viaggi,,Tatamaro Viaggi di Ivan Vitrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
110,Tour and Travelling,Via Messina, 7A,90141,,Palermo,"38.1268156,13.353066500000001",091/31841,091/123403,,info@tourandtravelling.it,www.weddingtosicily.com,Agenzia di viaggi,,Mondi e Culture Viaggi e Turismo s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
114,Fevi Tour,Via Briuccia,84,90146,,Palermo,"38.151274899999997,13.3322529",091/512649,091/14734,,info@fevitour.it,www.fevitour.it,Agenzia di viaggi,,Briuccia Travel By Fevi Tour di Pietro Catalano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
116,Flambò Tour,Via Nicolò Garzilli, 38A,90141,,Palermo,"38.127818699999999,13.3511837",091/6254321,091/348517,,info@flambotour.it,www.flambotour.it,Agenzia di viaggi,,Flambò Tour S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
117,Travel Sicily,Via Trinacria,20,90144,,Palermo,"38.147894899999997,13.338301700000001",091/31865,091/26286,,promotour@libero.it,,Agenzia di viaggi,,Promotour s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
120,Furlan Viaggi,Via Dante Alighieri, 56C,90141,,Palermo,"38.1235815,13.350488199999999",091/6118483,091/326896,,furlanviaggi@hotmail.it,www.sicilysi.it,Agenzia di viaggi,,Dante Viaggi S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
136,Virtus Viaggi e Turismo,Via Maqueda,260,90134,,Palermo,"38.114445500000002,13.3621879",091/014515,091/809893,,virtusviaggi@libero.it,www.virtusviaggi.it,Agenzia di viaggi,,Virtus Viaggi e Turismo s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
138,World Of Tui,Piazza Giovanni Amendola,15,90141,,Palermo,"38.122344599999998,13.3515344",091/121276,091/093124,,palermo1@tui.it,www.tui.it,Agenzia di viaggi,,Easy Market S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
8,Guccione Viaggi,Via Ammiraglio Gravina,80,90139,,Palermo,"38.124897099999998,13.3585853",091/81146,091/24808,,mail@guccioneviaggi.it,www.guccioneviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
17,Air Antoloving Viaggi e Vacanze,Via Maqueda,231,90133,,Palermo,"38.115363700000003,13.3616612",091/6118599,091/6121472,,antoloving@gmail.com,www.antoloving.com,Agenzia di viaggi,,Air Antoloving Viaggi e Vacanze di Hossain Mamun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
9,Aeroviaggi,Via XII Gennaio, 1C,90141,,Palermo,"38.125871500000002,13.353969299999999",091/333370,091/584194,,succursale@aeroviaggi.it,www.aeroviaggi.it,Agenzia di viaggi,,Aeroviaggi S.p.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
25,Kalesa Viaggi,Corso Calatafimi,801,90129,,Palermo,"38.101727400000001,13.3267206",091/572262,091/572263,,info@kalesaviaggi.it,www.kalesaviaggi.it,Agenzia di viaggi,,Kalesa Viaggi S.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
27,Alechiari Viaggi & Turismo,Via San Lorenzo, 91C,90146,,Palermo,"38.161103900000001,13.326846400000001",091/6886365,091/887133,,alechiari@tiscali.it,www.alechiari-viaggi.com,Agenzia di viaggi,,Mercurio S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
31,Amnesia Viaggi e Turismo,Via Nicolò Turrisi,33,90138,,Palermo,"38.120076099999999,13.352016900000001",091/9821723,091/8430778,,booking@amnesiaviaggi.it,www.amnesiaviaggi.it,Agenzia di viaggi,,Amnesia Viaggi di Damiata Gaetano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
32,Lai Viaggi,Piazza San Francesco di Paola,23,90138,,Palermo,"38.121305,13.3522312",091/83728,091/89995,,info@laiviaggi.it,www.laiviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
33,Arcadelphi Viaggi Succ.,Via Paolo Paternostro,10,90141,,Palermo,"38.123266100000002,13.3535012",091/6118108,091/86607,,giovanna.caridi@arcadelphi.com,,Agenzia di viaggi,,Arcadelphi Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
34,Landolina Viaggi e Turismo,Via Marchese di Villabianca, 82C,90143,,Palermo,"38.136895199999998,13.3507131",091/00529,091/259787,,info@landolinaviaggi.it,www.landolinaviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
36,Laurum Viaggi,Via Alloro,113,90133,,Palermo,"38.115674599999998,13.3684458",091/817303,091/171109,,laurumviaggi@gmail.com,,Agenzia di viaggi,,Laurum Viaggi di Vernengo Vita Grazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
37,Azania Viaggi,Via Mariano Stabile,94,90139,,Palermo,"38.124124600000002,13.360862300000001",091/321725,091/325468,,info@azaniaviaggi.eu,www.azaniaviaggi.eu,Agenzia di viaggi,,Azania Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
63,Cape Land succ.,Via Terra Santa,59,90141,,Palermo,"38.129360299999988,13.345229099999999",091/6251081,091/7309052,,info@capelandviaggi.com,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
77,Coralia Viaggi,Piazza Due Palme, 13-14,90133,,Palermo,"38.119024400000001,13.362212400000001",091/7811526,091/7495213,,coralia@essecitour.it,www.essecitour.it,Agenzia di viaggi,,Essecitour S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
78,Piluna Viaggi,Via Francesco Lo Jacono,61,90144,,Palermo,"38.134096999999997,13.344752700000001",091/3008779,091/303711,,pilunaviaggi@yahoo.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
79,Pirelli Viaggi,Via Giovanni Campolo,16,90145,,Palermo,"38.128516699999999,13.334179300000001",091/821888,091/834355,,mail@le-vacanze.it,www.le-vacanze.it,Agenzia di viaggi,,Le Vacanze Realizzabili s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
81,Premiere 2000 Sede,Via Ausonia,95,90146,,Palermo,"38.151728800000001,13.3331213",091/19175,091/16180,,info@premiere2000.it,www.premiere2000.it,Agenzia di viaggi,,Viaggi 2000 s.a.s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
82,Crilù Travel,Via Florestano Pepe,13,90139,,Palermo,"38.129168700000001,13.3540642",091/6622258,091/6092694,,crilutravel@tin.it,www.crilutravel.it,Agenzia di viaggi,,Sicilia insolita Crilutravel Coop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
83,Rais Travel,Via dei Nebrodi,10,90144,,Palermo,"38.145260899999997,13.3320086",091/28566,091/28572,,rais.travel@raistravel.com,www.raistravel.com,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
84,CT Travel,Via Roccazzo,88,90135,,Palermo,"38.122484200000002,13.308982200000001",091/5071399,091/50771399,,citytravelpalermo@hotmail.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
85,Rebayas Viaggi,Largo Mariano Accardo,50,90145,,Palermo,"38.125433399999999,13.333050800000001",091/865313,091/084748,,info@rebayasviaggi.it,www.rebayasviaggi.it,Agenzia di viaggi,,Rebayas Viaggi s.n.c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
86,Ruggieri Giovanni & Figli,Via Emerico Amari,40,90139,,Palermo,"38.126330000000003,13.361220599999999",091/87144,091/88464,,ruggieri@agenziaruggieri.it,www.agenziaruggieri.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
87,S. Tagliavia & C.,Via Camillo Benso Cavour,117,90133,,Palermo,"38.121858699999997,13.360328900000001",091/82533,091/84240,,mail@tagliavia.it,www.tagliavia.it,Agenzia di viaggi,,S. Tagliavia & C. s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
91,Daliomar Viaggi Sede,Via Tommaso Natale,53,90147,Sferracavallo,Palermo,"38.173804699999998,13.3023249",091/6911579,091/534000,,daliomarviaggi@neomedia.it,,Agenzia di viaggi,,Daliomar Viaggi di Isca Pietra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
92,Simon Travel,Corso Calatafimi,164,90129,,Palermo,"38.107536799999998,13.3413188",091/85171,091/84469,,booking@agecoturs.com,www.agecoturs.com,Agenzia di viaggi,,Simon Travel s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
96,Diodoro Travel,Via Principe di Palagonia, 82F,90145,,Palermo,"38.137315899999997,13.3342288",091/6852821,091/6851661,,info@diodorotravel.it,www.diodorotravel.it,Agenzia di viaggi,,Diodoro Travel S.p.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
97,Disegni di Viaggio,Via Giuseppe Sciuti, 77A,90144,,Palermo,"38.136210299999988,13.341162300000001",091/7743371,091/8771459,,disegnidiviaggio@live.it,www.disegnidiviaggio.it,Agenzia di viaggi,,Elleti S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
98,Soleventi & Tour,Via Serradifalco,206,90145,,Palermo,"38.127669500000003,13.3375263",091/813195,091/486732,,info@soleventietour.com,www.soleventitour.com,Agenzia di viaggi,,Soluzione Eventi & Turismo s.r.l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
99,Sopravvoliamo Viaggi,Piazza Ottavio Ziino,32,90145,,Palermo,"38.131152800000002,13.337848299999999",091/851438,091/851435,,sopravv@tin.it,,Agenzia di viaggi,,Sopravvoliamo Viaggi di Prosp. Soc. Coop. a r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
100,Eiffel Viaggi,Via Costantino Nigra,69,90141,,Palermo,"38.1288737,13.347901500000001",091/7308443,091/7829552,,info@eiffelviaggi.it,www.eiffelviaggi.it,Agenzia di viaggi,,Axia Viaggi di Badalamenti Loredana S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
102,Strasburgo Viaggi,Via Olanda, 23A,90146,,Palermo,"38.152118799999997,13.329001999999999",091/16434,091/786692,,strasburgoviaggi@libero.it,www.strasburgoviaggi.it,Agenzia di viaggi,,G.M. Travel di Manlio Di Giorgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
103,Eliadi Viaggi,Via Torquato Tasso,76,90144,,Palermo,"38.135734399999997,13.347255799999999",091/828007,091/7828007,,eliadipi@eliadiviaggi.191.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
104,Sullivan Viaggi,Via Francesco Petrarca,20,90144,,Palermo,"38.134284200000003,13.3473121",091/254086,091/44333,,sullivanviaggi@libero.it,,Agenzia di viaggi,,Sicilia Bella s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
105,Erre2viaggi,Via Giuseppe Alessi,10,90143,,Palermo,"38.140014800000003,13.3494153",091/345563,091/340321,,ronchi@erredueviaggi.it,www.erredueviaggi.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
106,T Travel,Calata Marinai d'Italia,1,90139,,Palermo,"38.1638,13.322059",091/573358,091/118841,,agepa.gambino@tirrenia.it,,Agenzia di viaggi,,Placido Mancuso e Figli Tour s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
109,Esse Più Viaggi,Via Catania,23,90141,,Palermo,"38.128678800000003,13.3513004",091/302439,091/7826099,,info@essepiuviaggi.it,www.essepiuviaggi.it,Agenzia di viaggi,,Esse Più Viaggi di Sicilia Concetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
111,Estamar Viaggi e Turismo,Piazza Castelnuovo,35,90141,,Palermo,"38.123979899999988,13.3543591",091/333955,091/321695,,info@coretur.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
15,In Vacanza,Viale Strasburgo,167,90146,,Palermo,"38.152745600000003,13.330472800000001",091/12633,091/434762,,invacanzarl@libero.it,www.invacanzasicilia.com,Agenzia di viaggi,,In Vacanza S.c.a.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
16,Inpoltronissima,Via Michele Amari,6,90139,,Palermo,"38.124167399999997,13.360216100000001",091/115050,091/817390,,vincenzo.carlisi@inpoltronissima.it,www.inpoltronissima.it,Agenzia di viaggi,,Inpoltronissima S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
18,Iopitur Service Itinerarium Succ.,Via Giacomo Puccini,54,90144,,Palermo,"38.131948299999998,13.339632399999999",091/873746,091/486756,,fabriziomistretta@iopitourpalermo.it,www.iopitourpalermo.it,Agenzia di viaggi,,Centro Itinerarium di Iozzia Giuseppa & C. s.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
28,Kukla Viaggi & Turismo Sede,Via Enrico Albanese,31,90139,,Palermo,"38.129851599999988,13.3542723",091/124546,091/124546,,info@kuklaviaggi.com,www.kuklaviaggi.it,Agenzia di viaggi,,Kukla Viaggi Soc. Coop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
41,Marras Viaggi,Corso Alberto Amedeo,168,90138,,Palermo,"38.117000300000001,13.350674100000001",091/222240,091/072473,,info@marrasviaggi.com,www.marrasviaggi.com,Agenzia di viaggi,,Marras Viaggi di Marras Francesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
43,Mashia Travel,Piazza Giulio Cesare,8,90127,,Palermo,"38.109631,13.3663179",091/176941,091/176941,,dilorenzotravel@virgilio.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
44,Bopa Grandi Biglietterie,PIazza Giulio Cesare - Stazione di Palermo, ,90127,,Palermo,"38.110187,13.366592",091/6161392,091/161392,,bgb.palermo@bopa.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
52,Borzì Viaggi Succ.,Via Francesco Lo Jacono, 22C,90144,,Palermo,"38.132975999999999,13.3451716",091//6255522,091/6255518,,borziviaggi@borziviaggi.it,www.borziviaggi.it,Agenzia di viaggi,,Borzì Viaggi della Borzì Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
56,Nashe Viaggi,Corso C. Finocchiaro Aprile,188,90138,,Palermo,"38.118175800000003,13.3442393",091/531016,091/531016,,palermo1@nasheviaggi.com,,Agenzia di viaggi,,Viaggiando s.r.l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
57,Nebrofood Viaggi e Turismo,Via Giovanni Aurispa, 70A,90145,,Palermo,"38.126542800000003,13.340908600000001",091/657106,091/657107,,agenziaviaggi@nebrofood.it,www.nebrofood.it,Agenzia di viaggi,,Nebrofood s.a.s di Dario La Mantia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
59,Calendario Viaggi,Via Nunzio Morello,21,90144,,Palermo,"38.133693000000001,13.3436963",091/6114545,091/6113939,,info@calendarioviaggi.com,www.calendarioviaggi.com,Agenzia di viaggi,,Holding Turismo S.p.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
65,Carthage Travel,Via Mariano Stabile,97,90139,,Palermo,"38.124066599999999,13.360343500000001",091/7811522,091/7811522,,infocarthagetravel@yahoo.it,www.carthagetravel.it,Agenzia di viaggi,,Carthage Travel S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
115,Tourist Travel Panormus,Via Alessio Di Giovanni,21,90144,,Palermo,"38.139907800000003,13.3436579",091/02600,091/809840,,info@ponormusviaggi.it,www.panormusviaggi.it,Agenzia di viaggi,,Avvenire s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
118,Frangi Ritt Viaggi,Viale Leonardo Da Vinci,233,90145,,Palermo,"38.127734599999997,13.326408300000001",091/400825,091/409036,,info@frangirittviaggi.com,www.frangirittviaggi.com,Agenzia di viaggi,,Frangi Ritt Viaggi e Turismo di Aldo Ciprì & c. S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
119,TRAVEL360,Via Marchese Ugo,72,90141,,Palermo,"38.133001800000002,13.350051499999999",091/089224,091/089220,,info@gruppo360.com,www.travel360palermo.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
121,Travelbag,Via Michele Amari,13,90139,,Palermo,"38.125146399999998,13.3596857",091/431085,091/431085,,pietro.diquarto@travelbag.it,www.azservizi-pa.it,Agenzia di viaggi,,AZ Servizi di Marsia Marika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
122,Traveleze,Via Emanuele Notarbartolo,49,90141,,Palermo,"38.132132600000013,13.344027199999999",091/45758,091/828239,,info@traveleze.it,,Agenzia di viaggi,,Traveleze s.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
123,Gamma Viaggi,Via Brunetto Latini,11,90141,,Palermo,"38.122979399999998,13.3501382",091/582258,091/6629016,,gammaviaggi@gmail.com,,Agenzia di viaggi,,Gamma Viaggi S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
125,Travellink,Viale Emilia,35,90146,,Palermo,"38.147812399999999,13.3405915",091/523153,091/195385,,travellink.srl@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
126,Gianniviaggi,Via Praga,48,90143,,Palermo,"38.152453,13.332401",091/6372519,091/6372482,,info@stsitalia.it,wwwstsitalia.it,Agenzia di viaggi,,Sicilian Tourist Service S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
127,Trinacria Viaggi,Via Maggiore Pietro Toselli, 28d,90143,,Palermo,"38.1361524,13.3524145",091/44376,091/48055,,trinacriaviaggi@libero.it,,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
128,Gigatour,Via del Quarnaro,14,90144,,Palermo,"38.142207399999997,13.3321086",091/6851471,091/229914,,info@gigatour.it,www.gigatour.it,Agenzia di viaggi,,Li.La S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
129,Giosaltour Viaggi,Via Salvatore Puglisi,15,90143,,Palermo,"38.144000400000003,13.3512077",091/7302628,091/303150,,giosaltour@servizitalia.it,www.servizitalia.it,Agenzia di viaggi,,Servizitalia società Coop. a.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
131,Globalsem Viaggi,Via Giusino,51,90146,,Palermo,"38.173965699999997,13.3343445",091/7848420,02/30132407,,info@globalsemviaggi.it,www.globalsemviaggi.it,Agenzia di viaggi,,Globalsem S.r.l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
132,Viaggiando con Marco Polo,Viale Strasburgo,385,90146,,Palermo,"38.1620749,13.321734599999999",091/831570,091/831569,,viaconmarcopolo@gmail.com,,Agenzia di viaggi,,Marcopolo Viaggi S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
135,Virgilio Viaggi,Piazza Virgilio,16,90141,,Palermo,"38.124085299999997,13.348531700000001",091/23751,091/117747,,info@virgilioviaggi.com,www.virgilioviaggi.com,Agenzia di viaggi,,Controvento di Iraci Consuelo S.a.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
137,Volare Together,Via Carmelo Raiti,4,90128,,Palermo,"38.095708100000003,13.348014300000001",091/90221,091/455594,,infovolare@libero.it,www.volaretogether.it,Agenzia di viaggi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopping
