Cafè 442,Mon-Sun 18:00 pm - 1:00 am,"38.144855999999997,13.3461509",Piazza San Giovanni Bosco,1,90143,,Palermo,091/549431,,,,http://www.cafe442.it,"divertimento, ristoro","Pub, Discopub"
Basquiat Cafè,Mon-Sun 19:00 pm - 2:00 am,"38.121995400000003,13.353139199999999",Via S. Oliva,20,90141,,Palermo,091/6090090,,,basquiatcafe@libero.it,http://www.basquiatcafe.altervista.org,"divertimento, ristoro","Pub, Discopub"
Lizard Pub,Mon-Sun 18:00 pm - 1:00 am,"38.115742999999988,13.3645915",Via Lattarini Grande,22,90133,,Palermo,,,,info@lizardpub.com,http://www.lizardpub.com,"divertimento, ristoro","Pub, Discopub"
Aboriginal Cafè,Mon-Sun 18:00 pm - 3:00 am,"38.121583999999999,13.3607318",Via Salvatore Spinuzza,3,90133,,Palermo,091/6622229,,,info@aboriginalcafe.com,http://www.aboriginalcafe.com,"divertimento, ristoro","Pub, Discopub"
Jackass,Mon-Sun 18:00 pm - 2:00 am,"38.1283271,13.347989500000001",Via Sammartino,117,90141,,Palermo,091/6261221,,,jackass@ristorantiitaliani.it,http://www.ristorantiitaliani.it/jackass,"divertimento, ristoro","Pub, Discopub"
Kovacs,Mon-Sun 19:00 pm - 1:30 am,"38.125240300000002,13.3549378",Via Della Libertà,6,90141,,Palermo,091/6115151,,,,,"divertimento, ristoro","Pub, Discopub"
Lulu Pub,Mon-Sun 20:00 pm - 2:00 am,"38.119047299999998,13.360661500000001",Via San Basilio,37,90133,,Palermo,,,3282766812 - 3491936985,pasquale.dipollina@libero.it,,"divertimento, ristoro","Pub, Discopub"
Ai bastioni,Mon-Sun 19:00 pm - 2:00 am,"38.117065400000001,13.351615300000001",Via Papireto,74,90134,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
CCP Agricantus Pub,Mon-Sun 20:00 pm - 1:30 am,"38.129838499999998,13.3504997",Via XX Settembre,82,90141,,Palermo,091/309636,,,francesca@agricantus.org,http://www.agricantus.org,"divertimento, ristoro","Pub, Discopub"
Chatoull'S Bistrot,Mon-Sun 18:00 pm - 3:00 am,"38.127165099999999,13.3542588",Via Giuseppe Mazzini,1,90139,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
Easy Malox,Mon-Sun 18:00 pm - 1:00 am,"38.115818,13.358948",Piazzetta della Canna,41860,90134,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
A scalunata,Mon-Sun 18:00 pm - 1:00 am,"38.117027,13.359701",Discesa Santa Marina,3,90134,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
Bisogno di vino,Mon-Sun 18:00 pm - 1:00 am,"38.119744099999998,13.358872699999999",Via Giacalone,2,90133,,Palermo,,,349 2821326,,,"divertimento, ristoro","Pub, Discopub"
Exit,Mon-Sun 22:00 pm - 3:00 am,"38.121480599999998,13.353048599999999",Piazza San Francesco di Paola,40,90138,,Palermo,,,3487814698,info@exitdrinks.com,http://www.exitdrinks.com,"divertimento, ristoro","Pub, Discopub"
Cafè Moma,Mon-Sun 20:00 pm - 2:00 am,"38.132823500000001,13.343850399999999",Via Gioacchino di Marzo,61,90144,,Palermo,091/7829603,,,,,"divertimento, ristoro","Pub, Discopub"
I Candelai,Mon-Sun 21:00 pm - 3:00 am,"38.116834099999998,13.3593662",Via dei Candelai,65,90134,,Palermo,091/327151,091/27151,3337002942,candelai@candelai.it,http://www.candelai.it,"divertimento, ristoro","Pub, Discopub"
Officina Di Dio,Mon-Sun 18:00 pm - 1:00 am,"38.126645099999998,13.3572974",Via Bertolino Giuseppe Puglisi,25,90139,,Palermo,,,3346947185,ohmiodio@virgilio.it,,"divertimento, ristoro","Pub, Discopub"
Birreria Warsteiner,Mon-Sun 19:00 pm - 3:00 am,"38.136711400000003,13.3408585",Via Giuseppe Sciuti,79F,90144,,Palermo,091/6268129,,,,,"divertimento, ristoro","Pub, Discopub"
Gentleman Loser,Mon-Sun 19:00 pm - 1:00 am,"38.1217234,13.355614599999999",Piazza Ungheria,33,90141,,Palermo,091/320436,,,,,"divertimento, ristoro","Pub, Discopub"
Hirsch,Mon-Sun 18:00 pm - 3:00 am,"38.130570599999999,13.345066299999999",Via Damiani Almeyda,32,90141,,Palermo,091/47825,,,totoadamo@live.it,,"divertimento, ristoro","Pub, Discopub"
Il Moro,Mon-Sun 21:00 pm - 4:00 am,"38.156785,13.370836",Via Pottino Monsignore Filippo,3,90142,,Palermo,091/546213 - 091/364990,,,,,"divertimento, ristoro","Pub, Discopub"
Abu Nawas,Mon-Sun 19:00 pm - 1:00 am,"38.121192500000006,13.3613672",Via Bara All'Olivella,18,90133,,Palermo,091/328861,,,,,"divertimento, ristoro","Pub, Discopub"
Santa Monica,Mon-Sun 12:30 pm - 2:30 am,"38.126442300000001,13.3535384",Via Enrico Parisi,7,90141,,Palermo,091/324735,,,,,"divertimento, ristoro","Pub, Discopub"
I Grilli Giù,Mon-Sun 19:30 pm - 2:00 am,"38.120254099999997,13.3641217",Largo Cavalieri di Malta,11,90133,,Palermo,091/6111243,,3288284265,giuseppemaranzano@yahoo.it,,"divertimento, ristoro","Pub, Discopub"
Malaluna Club,Mon-Sun 22:00 pm - 3:00 am,"38.168359500000001,13.3217923",Viale della Resurrezione,80,90146,,Palermo,,,335460022,malaluna@malaluna.it,http://www.malaluna.it,"divertimento, ristoro","Pub, Discopub"
Malavoglia,Mon-Sun 16:00 pm - 2:00 am,"38.113952,13.359755",Piazzetta Pietro Speciale,5,90134,,Palermo,091/334619,,,caffemalavoglia@hotmail.com,,"divertimento, ristoro","Pub, Discopub"
Mescal Tapas,Mon-Sun 19:30 pm - 3:00 am,"38.116581400000001,13.3584093",Via dei Candelai,75,90134,,Palermo,,,,,,"divertimento, ristoro","Pub, Discopub"
Pata Palo da Ignazio,Mon-Sun 19:00 pm - 2:00 am,"38.1193332,13.359674",Piazza Giovanni Borgese,3,90133,,Palermo,,,3928649024,,,"divertimento, ristoro","Pub, Discopub"
Luppolo - L'Ottavo Nano,Mon-Sun 18:00 pm - 1:30 am,"38.129817899999999,13.352996900000001",Via Daniele Manin,36,90139,,Palermo,091/6123877,,,,http://www.lottavonano.it/,"divertimento, ristoro","Pub, Discopub"
Taverna dell'artista,Mon-Sun 18:30 pm - 1:00 am,"38.124874599999998,13.3596004",Via Principe di Belmonte,45,90139,,Palermo,,,,press@kronoseventi.it,,"divertimento, ristoro","Pub, Discopub"
Nashville,Mon-Sun 19:00 pm - 1:30 am,"38.1511183,13.3300255",Via Belgio,4,90146,,Palermo,091/519846,,,bru46@msn.com,http://www.nashvillepub.it/,"divertimento, ristoro","Pub, Discopub"
Mikalsa,Mon-Sun 20:30 pm - 2:00 am,"38.116197,13.372803899999999",Via Torremuzza,27,90133,,Palermo,,,3489732254,info@mikalsa.it,http://www.mikalsa.it/,"divertimento, ristoro","Pub, Discopub"
Villa Niscemi Pub,Mon-Sun 18:30 pm - 2:30 am,"38.1624725,13.331958",Piazza Niscemi,55,90146,,Palermo,091/6880820,,,info@villaniscemipub.it,http://www.villaniscemipub.it/,"divertimento, ristoro","Pub, Discopub"
Zsa Zsa Mon Amour,Mon-Sun 21:30 pm - 3:00 am,"38.129861300000002,13.3357268",Via Filippo Angelitti,2,90145,,Palermo,091/6817516,,,info@zsazsamonamour.com,http://www.zsazsamonamour.com/,"divertimento, ristoro","Pub, Discopub"
Taco Loco,Mon-Sun 19:00 pm - 3:00 am,"38.128436999999998,13.336546",Via Campolo Giovanni,25-36,90145,,Palermo,091/6823663,091/6823663,,tacoloco@tacoloco.it,http://www.tacoloco.it,"divertimento, ristoro","Pub, Discopub"
Fashion Club,Mon-Sun 19:30 pm - 2:00 am,"38.1460261,13.334834900000001",Via Restivo Empedocle,106,90144,,Palermo,091/517825,,,fashion106pa@libero.it,,"divertimento, ristoro",Cocktail Bar
Jumeirah,Mon-Sun 18:00 pm - 2:00 am,"38.134356199999999,13.3457697",Via Ludovico Ariosto,32,90144,,Palermo,091/625 4071,,,info@jumeirahpalermo.it,http://www.jumeirahpalermo.it,"divertimento, ristoro","Cocktail Bar, American Bar, Ristorante"
Rocket Bar,Mon-Sun 18:30 pm - 3:00 am,"38.121465700000002,13.353148600000001",Piazza San Francesco di Paola,42,90138,,Palermo,,,,rocket-bar@hotmail.it,,"divertimento, ristoro",Cocktail Bar
Mood (ex Tina Pica),Mon-Sun 20:00 pm - 2:00 am,"38.119401500000002,13.365435099999999",Via Giovanni Meli,13,90133,,Palermo,091/6123934,,,info@tinapica.it,,"divertimento, ristoro",Cocktail Bar
Il Siciliano,Mon-Sun 18:00 pm - 2:00 am,"38.120475,13.359739",Via Orologio,37,90133,,Palermo,,,,,http://www.ilsiciliano.eu,"divertimento, ristoro",Cocktail Bar
Al Viale American Bar,Mon-Sun 10:00 am - 3:00 am,"38.1284797,13.354020999999999",Via Archimede,189,90139,,Palermo,091/6090133,,,,,"divertimento, ristoro",Cocktail Bar
Berlin Cafè,Mon-Sun 19:00 pm - 3:00 am,"38.127246300000003,13.3560984",Via Isidoro la Lumia,21,90139,,Palermo,091/334398 - 091/584897,,,,,"divertimento, ristoro",Cocktail Bar
Drunks,Mon-Sun 19:00 pm - 2:00 am,"38.114600199999998,13.365069099999999",Via Cagliari,14,90133,,Palermo,,,3204115312,alcronic@hotmail.it,,"divertimento, ristoro",Cocktail Bar
Cortile Patania,Mon-Sun 17:00 pm - 3:00 am,"38.119403699999999,13.3601364",Via Giuseppe Patania,34,90133,,Palermo,091/7434772,,,,,"divertimento, ristoro",Cocktail Bar
Litania,Mon-Sun 20:00 pm - 2:30 am,"38.116165299999999,13.357512699999999",Via del Celso,69,90134,,Palermo,,,,,,"divertimento, ristoro",Cocktail Bar
Lizard,Mon-Sun 19:00 pm - 3:00 am,"38.131958300000001,13.3359177",Via Pietro Paolo Rubens,5,90145,,Palermo,091/6813948,,3929697942,info@lizardpalermo.net,http://www.lizardpalermo.com/,"divertimento, ristoro",Cocktail Bar
Cotton Club Cafè,Mon-Sun 7:00 am - 2:00 am,"38.123979899999988,13.3543591",Piazza Castelnuovo,35,90141,,Palermo,091/31246 - 091588063,,,info@cottonclubcafe.it,http://www.cottonclublounge.com/,"divertimento, ristoro",Cocktail Bar
Oceania,Mon-Sun 6:30 am - 2:00 am,"38.130815299999988,13.3332634",Via Giotto,45,90145,,Palermo,091/6816966,,,oceaniaristorazione@ristorantiitaliani.it,http://www.oceaniaristorazione.it,"divertimento, ristoro","Cocktail Bar, Pizzeria, Ristorante, Panineria"
Zammù,Mon-Sun 19:00 pm - 3:00 am,"38.114146,13.366549",Piazza della Rivoluzione,34-35,90133,,Palermo,,,,,,"divertimento, ristoro",Cocktail Bar
Vinile,Mon-Sun 19:00 pm - 2:00 am,"38.124147600000001,13.3476613",Via Selinunte,7,90141,,Palermo,,,,,https://it.foursquare.com/v/vinile/4d93755ef10ea09322fc291e,"divertimento, ristoro",Cocktail Bar
Bukowski,Mon-Sun 20:00 pm - 3:00 am,"38.114343900000001,13.3656145",Via Piccola Teatro Santa Cecilia,22,90133,,Palermo,,,,,,"divertimento, ristoro",Cocktail Bar
Phi Beach,Mon-Sun 9:00 am - 2:00 am,"38.191230400000002,13.344471499999999",Lungomare Cristoforo Colombo,2351,90149,Addaura,Palermo,091/6849217,,3296999079,,,"divertimento, ristoro",Cocktail Bar
Shamrock Cafè,Mon-Sun 19:30 pm - 1:30 am,"38.145046700000002,13.3392926",Viale Campania,44,90144,,Palermo,091/511319,,,,,"divertimento, ristoro",Cocktail Bar
Vespa Cafè,Mon-Sun 10:00 am - 2:00 am,"38.120475,13.359739",Via Orologio,38,90133,,Palermo,,,,,http://www.vespacafepalermo.it/,"divertimento, ristoro",Cocktail Bar
La Champagneria Del Massimo,Mon-Sun 9:00 am - 3:00 am,"38.121139999999997,13.3589764",Via Salvatore Spinuzza,59,90133,,Palermo,091/335730,,3478050080,,,"divertimento, ristoro",Wine Bar
L'Aperitivo,Mon-Sun 18:30 pm - 2:00 am,"38.137057300000002,13.3438143",Via Giuseppe Giusti,34,90144,,Palermo,091/301125,,,,,"divertimento, ristoro",Wine Bar
Ai chiavettieri,Mon-Sun 19:00 pm - 1:30 am,"38.117956900000003,13.3664731",Via Chiavettieri,18,90133,,Palermo,091/328926,,,,,"divertimento, ristoro",Wine Bar
Enoteca Arcilesi,Mon-Sun 17:00 pm - 1:00 am,"38.139353999999997,13.3504887",Via Toselli Pietro Maggiore,125-127,90143,,Palermo,091/301679,,,butybuty@libero.it,,"divertimento, ristoro",Wine Bar
Jazz'N Chocolate,Mon-Sun 19:00 pm - 2:00 am,"38.119913500000003,13.359428299999999",Via Giacalone,29,90133,,Palermo,,,3298160376,,,"divertimento, ristoro",Wine Bar
Kursaal Kalhesa,Mon-Sun 12:00 pm - 1:30 am,"38.118605100000003,13.372231899999999",Foro Italico Umberto I,1,90133,,Palermo,091/6162111 - 091/6167630,,,info@kursaalkalhesa.it,http://www.kursaalkalhesa.it,"divertimento, ristoro",Wine Bar
Cavù,Mon-Sun 18:30 pm - 3:00 am,"38.114146,13.366549",Piazza della Rivoluzione,1,90133,,Palermo,,,3292920789 - 3807922591,,,"divertimento, ristoro",Wine Bar
Centro Cha,Mon-Sun 17:00 pm - 1:30 am,"38.122377899999996,13.354113399999999",Via Velasquez,34,90141,,Palermo,091/580127,,,centrocha@libero.it,,"divertimento, ristoro",Wine Bar
La Cuba,Mon-Sun 19:00 pm - 2:00 am,"38.137440400000003,13.3428247",Viale Francesco Scaduto,2,90144,,Palermo,091/309201,091/6257168,,info@lacuba.com,http://www.lacuba.com,"divertimento, ristoro","Wine Bar, Pub"
Noga Wine Bar,Mon-Sun 20:00 pm - 2:00 am,"38.117974599999997,13.3665106",Via Chiavettieri,17,90133,,Palermo,,,,,,"divertimento, ristoro",Wine Bar
Robinson Vini,Mon-Sun 19:00 pm - 2:00 am,"38.134834300000001,13.346843399999999",Via Ludovico Ariosto,11,90144,,Palermo,091/6252014,,,,,"divertimento, ristoro",Wine Bar
Hub,Mon-Sun 19:00 pm - 3:00 am,"38.139188900000001,13.345974999999999",Via della Libertà,84,90143,,Palermo,091/304977,,,relazioniesterne.hub@gmail.com,http://www.hubpalermo.com,"divertimento, ristoro",Wine Bar
Gatto Nero,Mon-Sun 19:30 pm - 2:00 am,"38.112688200000001,13.3602834",Via Rua Formaggi,15,90134,,Palermo,,,3403452222,gattoneropub@hotmail.it,,"divertimento, ristoro",Wine Bar
Lord Green,Mon-Sun 18:30 pm - 3:00 am,"38.126140100000001,13.3526794",Via Enrico Parisi,30A,90141,,Palermo,091/6110194,,,mortillaro@neomedia.it,,"divertimento, ristoro",Wine Bar
Mi manda Picone,Mon-Sun 19:00 pm - 2:00 am,"38.116145600000003,13.3662961",Via Alessandro Paternostro,59,90133,,Palermo,091/6160660,,,,,"divertimento, ristoro",Wine Bar
Rendez Vous,Mon-Sun 19:30 pm - 1:00 am,"38.114428400000001,13.368817999999999",Via Castrofilippo,24,90133,,Palermo,,,3498111189 - 3201171828,davidgraviano@hotmail.it,http://www.rendezvouspalermo.com/,"divertimento, ristoro",Wine Bar
